HomeTeam,AwayTeam,FTR,HAS,HDS,HST,AAS,ADS,AST,HC,AC,HTWS,B365H,B365D,B365A,HTDS,HW,HD,HL,AW,AD,AL,WD,DD,LD,HGS,AGS,HGC,AGC,HTLS,ATWS,DAS,DDS,ATDS,ATLS,MR,HF,AF,PD,RD,CornerDiff,ShotsDiff,GoalsScoredDiff,GoalsConceedDiff,HomeTeamLP,AwayTeamLP,HomeTeamCP,AwayTeamCP,probHome,probDraw,probAway,MW,Result
Arsenal,Aston Villa,A,1.2040133779264213,0.4845814977973569,4,0.748898678414097,1.0702341137123745,4,4,3,0,1.44,4.75,8.0,0,0.631578947368421,0.18421052631578946,0.18421052631578946,0.2631578947368421,0.21052631578947367,0.5263157894736842,0.3684210526315789,-0.02631578947368421,-0.3421052631578947,22,17,29,32,0,0,0.4551146995123243,-0.5856526159150177,0,0,-4.0,0,3,41,-10.0,1,0,5,-3,4.0,14.0,4.0,14.0,0.7038495667018128,0.1682559935169242,0.09733678516137254,0,-1
Liverpool,Stoke,H,1.7725752508361203,0.7929515418502202,11,0.7929515418502202,1.1705685618729096,4,12,6,0,1.4,5.0,9.5,0,0.6842105263157895,0.15789473684210525,0.15789473684210525,0.34210526315789475,0.2894736842105263,0.3684210526315789,0.34210526315789475,-0.13157894736842107,-0.21052631578947367,27,18,17,35,0,0,0.9796237089859001,-0.3776170200226894,0,1,1.0,6,3,34,-6.0,6,7,9,-18,7.0,13.0,2.0,9.0,0.6858377143088026,0.13431533882449884,0.09807882192526393,0,1
Norwich,Everton,D,0.568561872909699,0.7929515418502202,2,1.013215859030837,0.6688963210702341,6,6,8,0,3.2,3.4,2.4,1,0.21052631578947367,0.23684210526315788,0.5526315789473685,0.5526315789473685,0.23684210526315788,0.21052631578947367,-0.3421052631578948,0.0,0.3421052631578948,38,23,19,20,1,0,-0.44465398612113816,0.1240552207799861,0,0,0.0,4,3,-39,5.0,-2,-4,15,-1,11.0,6.0,18.0,5.0,0.1473725290575846,0.249700535771497,0.5972244466337312,0,0
Sunderland,Fulham,A,0.7023411371237459,1.1894273127753305,3,0.7048458149779736,1.5719063545150502,1,6,1,0,2.3,3.4,3.4,1,0.2631578947368421,0.21052631578947367,0.5263157894736842,0.23684210526315788,0.13157894736842105,0.631578947368421,0.02631578947368421,0.07894736842105263,-0.10526315789473684,24,16,38,47,1,1,-0.0025046778542276993,-0.3824790417397197,0,2,-0.75,1,4,6,5.0,5,2,8,-9,17.0,12.0,15.0,19.0,0.5708943628712732,0.2150821340230715,0.1974269200273456,0,-1
Swansea,Man United,A,1.1036789297658862,1.145374449339207,6,1.5418502202643172,0.7357859531772576,7,7,4,1,4.2,3.5,2.0,1,0.2894736842105263,0.23684210526315788,0.47368421052631576,0.5,0.18421052631578946,0.3157894736842105,-0.21052631578947367,0.05263157894736842,0.15789473684210525,29,35,21,22,1,1,-0.43817129049843095,0.4095884961619495,1,1,1.25,7,4,-22,8.0,3,-1,-6,-1,9.0,1.0,12.0,7.0,0.3395019831682674,0.2507297975701798,0.4029363333855688,0,-1
West Brom,Southampton,A,0.8026755852842808,1.1894273127753305,1,0.9691629955947137,0.7692307692307693,2,4,8,0,2.4,3.4,3.2,1,0.18421052631578946,0.39473684210526316,0.42105263157894735,0.39473684210526316,0.2894736842105263,0.3157894736842105,-0.2105263157894737,0.10526315789473684,0.10526315789473684,32,22,23,23,1,0,-0.1664874103104329,0.42019654354456126,1,1,0.0,7,7,-20,-8.0,-4,-1,10,0,8.0,16.0,17.0,8.0,0.311853046384309,0.26841319527591845,0.41583916114485575,0,-1
West Ham,Cardiff,H,0.8361204013377928,1.145374449339207,4,0.5286343612334802,1.3043478260869565,1,4,3,0,2.0,3.6,4.0,1,0.2894736842105263,0.18421052631578946,0.5263157894736842,0.18421052631578946,0.23684210526315788,0.5789473684210527,0.10526315789473686,-0.05263157894736842,-0.052631578947368474,20,12,35,39,2,1,0.3074860401043126,-0.15897337674774947,1,1,0.5,4,4,10,-8.0,1,3,8,-4,10.0,18.0,13.0,20.0,0.5925448571467169,0.24185456047214432,0.1585071050063489,0,1
Chelsea,Hull,H,1.4381270903010033,0.4845814977973569,5,0.7929515418502202,1.0702341137123745,2,5,1,1,1.2,7.0,21.0,1,0.6578947368421053,0.18421052631578946,0.15789473684210525,0.2631578947368421,0.18421052631578946,0.5526315789473685,0.3947368421052632,0.0,-0.3947368421052632,20,18,21,32,0,2,0.6451755484507831,-0.5856526159150177,1,0,1.5,10,7,45,-15.0,4,3,2,-11,3.0,18.0,3.0,16.0,0.7360322022203727,0.17573936850453503,0.06927301631297803,0,1
Crystal Palace,Tottenham,A,0.6020066889632106,1.013215859030837,3,1.1013215859030838,0.9364548494983277,2,3,7,0,4.75,3.75,1.83,0,0.34210526315789475,0.15789473684210525,0.5,0.5526315789473685,0.15789473684210525,0.2894736842105263,-0.21052631578947373,0.0,0.21052631578947367,30,25,23,28,0,0,-0.4993148969398732,0.07676100953250942,1,1,-2.25,0,7,-24,13.0,-4,1,5,-5,18.0,5.0,11.0,6.0,0.307554709995441,0.3002915203173819,0.39062523150350376,0,-1
Man City,Newcastle,H,2.1070234113712374,0.5726872246696035,11,0.8810572687224669,1.0367892976588629,1,8,1,2,1.33,5.5,11.0,0,0.7105263157894737,0.13157894736842105,0.15789473684210525,0.39473684210526316,0.10526315789473684,0.5,0.3157894736842105,0.02631578947368421,-0.34210526315789475,23,20,28,31,1,1,1.2259661426487705,-0.4641020729892593,1,1,2.0,9,7,37,-13.0,7,10,3,-3,2.0,15.0,1.0,10.0,0.7385885153777937,0.09118778330236349,0.046410315219598125,0,1
