HomeTeam,AwayTeam,FTR,HAS,HDS,HST,AAS,ADS,AST,HC,AC,HTWS,B365H,B365D,B365A,HTDS,HW,HD,HL,AW,AD,AL,WD,DD,LD,HGS,AGS,HGC,AGC,HTLS,ATWS,DAS,DDS,ATDS,ATLS,MR,HF,AF,PD,RD,CornerDiff,ShotsDiff,GoalsScoredDiff,GoalsConceedDiff,HomeTeamLP,AwayTeamLP,HomeTeamCP,AwayTeamCP,probHome,probDraw,probAway,MW,Result
Aston Villa,Bolton,D,0.7207207207207207,1.0282776349614395,2.0,1.0282776349614395,1.009009009009009,6.0,7.0,8.0,0,2.3,3.25,3.0,0,0.2631578947368421,0.3157894736842105,0.42105263157894735,0.3947368421052632,0.2894736842105263,0.3157894736842105,-0.13157894736842107,0.02631578947368418,0.10526315789473684,29.0,20.0,13.0,28.0,0,0,-0.30755691424071885,0.019268625952430615,0,0,0.0,1,1,-14,8.0,-1.0,-4.0,9.0,-15.0,16.0,8.0,16.0,8.0,0.3393679730494047,0.2783513683543907,0.3794292894981685,0,0
Everton,Man United,A,0.7927927927927928,1.1311053984575836,5.0,1.7994858611825193,0.9369369369369368,5.0,8.0,6.0,0,5.0,3.4,1.72,0,0.3684210526315789,0.21052631578947367,0.42105263157894735,0.6578947368421053,0.21052631578947367,0.13157894736842105,-0.2894736842105264,0.0,0.2894736842105263,37.0,35.0,8.0,26.0,1,0,-1.0066930683897266,0.1941684615206467,0,0,-2.0,3,6,-33,9.0,2.0,0.0,2.0,-18.0,11.0,2.0,11.0,2.0,0.1843336379320326,0.25189460812602765,0.5579057882843425,0,-1
Fulham,Birmingham,D,1.1171171171171168,1.0796915167095118,7.0,0.4627249357326478,1.0810810810810811,4.0,6.0,6.0,0,2.37,3.25,2.87,1,0.3684210526315789,0.15789473684210525,0.4736842105263158,0.21052631578947367,0.2631578947368421,0.5263157894736842,0.15789473684210525,-0.10526315789473684,-0.05263157894736842,19.0,9.0,20.0,30.0,0,0,0.6543921813844693,-0.0013895643715693409,1,0,0.0,1,1,14,-6.0,0.0,3.0,10.0,-10.0,12.0,18.0,12.0,18.0,0.5620876042056201,0.2536363603811356,0.1787175323741075,0,0
Man City,West Brom,D,0.9369369369369368,1.0282776349614395,8.0,0.5141388174807198,1.2252252252252251,3.0,3.0,6.0,0,1.72,3.4,5.0,1,0.34210526315789475,0.10526315789473684,0.5526315789473685,0.18421052631578946,0.2368421052631579,0.5789473684210527,0.15789473684210528,-0.13157894736842105,-0.02631578947368418,21.0,10.0,24.0,34.0,0,1,0.4227981194562172,-0.1969475902637856,1,0,1.75,10,4,13,-4.0,-3.0,5.0,11.0,-10.0,15.0,19.0,15.0,19.0,0.5896126496291858,0.2463748754982363,0.15767106481299795,0,0
Middlesbrough,Liverpool,D,1.009009009009009,1.5424164524421595,2.0,1.2853470437017995,0.6126126126126126,7.0,5.0,0.0,1,2.87,3.2,2.4,0,0.3157894736842105,0.2368421052631579,0.4473684210526316,0.6578947368421053,0.18421052631578946,0.15789473684210525,-0.3421052631578948,0.05263157894736842,0.2894736842105263,32.0,25.0,8.0,17.0,1,1,-0.2763380346927906,0.929803839829547,0,0,-0.5,6,6,-37,11.0,5.0,-5.0,7.0,-9.0,14.0,3.0,14.0,3.0,0.202941885907769,0.2631531485506061,0.5294069929987315,0,0
Portsmouth,Tottenham,A,0.6126126126126126,1.2339331619537277,7.0,1.1311053984575836,0.7927927927927928,6.0,7.0,2.0,1,2.75,3.2,2.5,1,0.2631578947368421,0.21052631578947367,0.5263157894736842,0.4736842105263158,0.2894736842105263,0.2368421052631579,-0.21052631578947367,-0.07894736842105265,0.2894736842105263,31.0,22.0,16.0,22.0,1,0,-0.518492785844971,0.4411403691609347,1,1,0.5,5,3,-27,12.0,5.0,1.0,9.0,-6.0,17.0,5.0,17.0,5.0,0.24001735454440906,0.26249115256834216,0.4928259222103216,0,-1
Sunderland,Charlton,A,0.4324324324324324,1.9023136246786636,8.0,0.9768637532133676,1.2252252252252251,4.0,5.0,5.0,0,2.37,3.2,2.9,1,0.07894736842105263,0.15789473684210525,0.7631578947368421,0.34210526315789475,0.21052631578947367,0.4473684210526316,-0.2631578947368421,-0.05263157894736842,0.31578947368421056,22.0,19.0,21.0,34.0,2,1,-0.5444313207809353,0.6770883994534382,0,1,0.0,4,6,-32,7.0,0.0,4.0,3.0,-13.0,20.0,13.0,20.0,13.0,0.2761677183092183,0.28305442747776643,0.4382019555881251,0,-1
West Ham,Blackburn,H,1.0810810810810811,1.2853470437017995,5.0,1.0282776349614395,0.9009009009009008,5.0,2.0,6.0,1,2.5,3.2,2.75,2,0.42105263157894735,0.18421052631578946,0.3947368421052632,0.5,0.15789473684210525,0.34210526315789475,-0.07894736842105265,0.02631578947368421,0.05263157894736842,31.0,20.0,17.0,25.0,0,0,0.052803446119641606,0.3844461428008985,1,1,0.0,5,7,-8,3.0,-4.0,0.0,11.0,-8.0,9.0,6.0,9.0,6.0,0.4058116219212348,0.2546015454339389,0.3335720577606892,0,1
Arsenal,Newcastle,H,1.7297297297297296,0.6683804627249358,12.0,0.9768637532133676,0.9729729729729728,1.0,8.0,3.0,1,1.4,4.2,8.0,1,0.5263157894736842,0.18421052631578946,0.2894736842105263,0.4473684210526316,0.18421052631578946,0.3684210526315789,0.0789473684210526,0.0,-0.0789473684210526,28.0,19.0,15.0,27.0,1,2,0.7528659765163621,-0.30459251024803713,1,0,-0.5,7,7,9,-3.0,5.0,11.0,9.0,-12.0,4.0,7.0,4.0,7.0,0.6401147528649007,0.2168963478613791,0.13132084561957347,0,1
Wigan,Chelsea,A,0.8648648648648648,1.3367609254498716,5.0,1.2853470437017995,0.4684684684684685,9.0,2.0,6.0,0,10.0,4.5,1.33,0,0.3947368421052632,0.15789473684210525,0.4473684210526316,0.7631578947368421,0.10526315789473684,0.13157894736842105,-0.368421052631579,0.05263157894736842,0.3157894736842105,47.0,25.0,9.0,13.0,0,3,-0.4204821788369347,0.8682924569814031,0,0,-0.75,12,10,-40,9.0,-4.0,-4.0,22.0,-4.0,10.0,1.0,10.0,1.0,0.14613990015497272,0.23762219116972316,0.6086859186394378,0,-1
